"SCTBKEY","DISTRICT"
"480019507001019",6
"480019507001020",6
"480019507001021",6
"480019507001022",6
"480019507001023",6
"480019507001024",6
"480019507001025",6
"480019507001026",6
"480019507001027",6
"480019507001028",6
"480019507001029",6
"480019507001030",6
"480019507001031",6
"480019507001032",6
"480019507001033",6
"480019507001034",6
"480019507001035",6
"480019507001036",6
"480019507001037",6
"480019507001038",6
"480019507001039",6
"480019507001040",6
"480019507001041",6
"480019507001042",6
"480019507001043",6
"480019507001044",6
"480019507002000",6
"480019507002001",6
"480019507002002",6
"480019507002003",6
"480019507002004",6
"480019507002005",6
"480019507002006",6
"480019507002007",6
"480019507002008",6
"480019507002009",6
"480019507002010",6
"480019507002011",6
"480019507002012",6
"480019507002013",6
"480019507002014",6
"480019507002015",6
"480019507002016",6
"480019507002017",6
"480019507002018",6
"480019507002019",6
"480019507002020",6
"480019507002021",6
"480019507002022",6
"480019507002023",6
"480019507002024",6
"480019507002025",6
"480019507002026",6
"480019507002027",6
"480019507002028",6
"480019507002029",6
"480019507002030",6
"480019507002031",6
"480019507002032",6
"480019507002033",6
"480019507002034",6
"480019507002035",6
"480019507002036",6
"480019507002037",6
"480019507002038",6
"480019507002039",6
"480019507002040",6
"480019507002041",6
"480019507002042",6
"480019507002043",6
"480019507003000",6
"480019507003001",6
"480019507003002",6
"480019507003003",6
"480019507003004",6
"480019507003005",6
"480019507003006",6
"480019507003007",6
"480019507003008",6
"480019507003009",6
"480019507003010",6
"480019507003011",6
"480019507003012",6
"480019507003013",6
"480019507003014",6
"480019507003015",6
"480019507003016",6
"480019507003017",6
"480019507003018",6
"480019507003019",6
"480019507003020",6
"480019507003021",6
"480019507003022",6
"480019507003023",6
"480019507003024",6
"480019507003025",6
"480019507003026",6
"480019507003027",6
"480019507003028",6
"480019507003029",6
"480019507003030",6
"480019507003031",6
"480019507003032",6
"480019507003033",6
"480019507003034",6
"480019507003035",6
"480019507003036",6
"480019507003037",6
"480019507003038",6
"480019507003039",6
"480019507003040",6
"480019507003041",6
"480019507003042",6
"480019507003043",6
"480019507003044",6
"480019507003045",6
"480019507003046",6
"480019507003047",6
"480019507003048",6
"480019507003049",6
"480019507003050",6
"480019507003051",6
"480019507003052",6
"480019507003053",6
"480019507003054",6
"480019507003055",6
"480019507003056",6
"480019507003057",6
"480019507003058",6
"480019507003059",6
"480019507003060",6
"480019507003061",6
"480019507003062",6
"480019507003063",6
"480019507003064",6
"480019507003065",6
"480019507003066",6
"480019507003067",6
"480019507003068",6
"480019507003069",6
"480019507003070",6
"480019507003071",6
"480019507003072",6
"480019507003073",6
"480019507003074",6
